issue_id,topic_ngram
MRM-436,incorrect_default
MRM-436,default_cron
MRM-436,cron_express
MRM-436,express_snapshot
MRM-436,snapshot_repositori
MRM-436,repositori_valid
MRM-436,valid_valu
MRM-436,valu_probabl
MRM-436,probabl_releas
MRM-421,default_configur
MRM-421,configur_proxi
MRM-421,proxi_central
MRM-421,central_repo
MRM-421,repo_fail
MRM-421,fail_pre
MRM-421,pre_download
MRM-421,download_polici
MRM-421,polici_test
MRM-421,test_fix
MRM-421,fix_mrm-370
MRM-421,mrm-370_rm
MRM-421,rm_-rf
MRM-421,-rf_$
MRM-421,$_m2_repo
MRM-421,m2_repo_org
MRM-421,org_apach
MRM-421,apach_maven
MRM-421,maven_plugin
MRM-421,plugin_maven
MRM-421,maven_clean
MRM-421,clean_plugincd
MRM-421,plugincd_/path
MRM-421,/path_projectmvn
MRM-421,projectmvn_cleani
MRM-421,cleani_usual
MRM-421,usual_find
MRM-421,find_valid
MRM-421,valid_version
MRM-421,version_messag
MRM-421,messag_archiva
MRM-421,archiva_log
MRM-421,log_jvm
MRM-421,jvm_|
MRM-421,|_06:25:29,796
MRM-421,06:25:29,796_socketlistener0
MRM-421,socketlistener0_info
MRM-421,info_org.apache.maven.archiva.proxy.repositoryproxyconnector
MRM-421,org.apache.maven.archiva.proxy.repositoryproxyconnector_default
MRM-421,default_fail
MRM-421,polici_-c:\${appserver.home}\repositories\internal\org\apache\maven\plugins\maven
MRM-421,-c:\${appserver.home}\repositories\internal\org\apache\maven\plugins\maven_clean
MRM-421,clean_plugin\maven
MRM-421,plugin\maven_metadata.xmlther
MRM-421,metadata.xmlther_whitelist
MRM-421,whitelist_pattern
MRM-421,pattern_intern
MRM-421,intern_>
MRM-421,>_central
MRM-421,central_proxi
MRM-421,proxi_connector
MRM-421,connector_ship
MRM-421,ship_configur
MRM-421,configur_actual
MRM-421,actual_make
MRM-421,make_proxi
MRM-421,proxi_add
MRM-421,add_whitelist
MRM-421,pattern_work.should
MRM-421,work.should_absenc
MRM-421,absenc_whitelist
MRM-421,pattern_mean
MRM-421,mean_proxi
MRM-415,mysql_specifi
MRM-415,specifi_key
MRM-415,key_long
MRM-415,long_max
MRM-415,max_key
MRM-415,key_length
MRM-415,length_byte
MRM-415,byte_start
MRM-415,start_archiva
MRM-415,archiva_mysql
MRM-415,mysql_databas
MRM-415,databas_follow
MRM-415,follow_error
MRM-415,error_seen.{code}caus
MRM-415,seen.{code}caus_javax.jdo.jdodatastoreexcept
MRM-415,javax.jdo.jdodatastoreexcept_except
MRM-415,except_throw
MRM-415,throw_add
MRM-415,add_valid
MRM-415,valid_class(
MRM-415,class(_specifi
MRM-415,length_bytescom.mysql.jdbc.exceptions.mysqlsyntaxerrorexcept
MRM-415,bytescom.mysql.jdbc.exceptions.mysqlsyntaxerrorexcept_specifi
MRM-415,byte_com.mysql.jdbc.sqlerror.createsqlexception(sqlerror.java:936
MRM-415,com.mysql.jdbc.sqlerror.createsqlexception(sqlerror.java:936_com.mysql.jdbc.mysqlio.checkerrorpacket(mysqlio.java:2870
MRM-415,com.mysql.jdbc.mysqlio.checkerrorpacket(mysqlio.java:2870_com.mysql.jdbc.mysqlio.sendcommand(mysqlio.java:1573
MRM-415,com.mysql.jdbc.mysqlio.sendcommand(mysqlio.java:1573_com.mysql.jdbc.mysqlio.sqlquerydirect(mysqlio.java:1665
MRM-415,com.mysql.jdbc.mysqlio.sqlquerydirect(mysqlio.java:1665_com.mysql.jdbc.connection.execsql(connection.java:3170
MRM-415,com.mysql.jdbc.connection.execsql(connection.java:3170_com.mysql.jdbc.connection.execsql(connection.java:3099
MRM-415,com.mysql.jdbc.connection.execsql(connection.java:3099_com.mysql.jdbc.statement.execute(statement.java:695
MRM-415,com.mysql.jdbc.statement.execute(statement.java:695_org.jpox.store.rdbms.table.abstracttable.executeddlstatement(abstracttable.java:614
MRM-415,org.jpox.store.rdbms.table.abstracttable.executeddlstatement(abstracttable.java:614_org.jpox.store.rdbms.table.abstracttable.executeddlstatementlist(abstracttable.java:570
MRM-415,org.jpox.store.rdbms.table.abstracttable.executeddlstatementlist(abstracttable.java:570_org.jpox.store.rdbms.table.abstracttable.create(abstracttable.java:297
MRM-415,org.jpox.store.rdbms.table.abstracttable.create(abstracttable.java:297_org.jpox.store.rdbms.table.abstracttable.exists(abstracttable.java:341
MRM-415,org.jpox.store.rdbms.table.abstracttable.exists(abstracttable.java:341_org.jpox.store.rdbms.rdbmsmanager$classadder.performtablesvalidation(rdbmsmanager.java:3052
MRM-415,org.jpox.store.rdbms.rdbmsmanager$classadder.performtablesvalidation(rdbmsmanager.java:3052_org.jpox.store.rdbms.rdbmsmanager$classadder.addclasstablesandvalidate(rdbmsmanager.java:3313
MRM-415,org.jpox.store.rdbms.rdbmsmanager$classadder.addclasstablesandvalidate(rdbmsmanager.java:3313_org.jpox.store.rdbms.rdbmsmanager$classadder.run(rdbmsmanager.java:2554
MRM-415,org.jpox.store.rdbms.rdbmsmanager$classadder.run(rdbmsmanager.java:2554_org.jpox.store.rdbms.rdbmsmanager$mgmttransaction.execute(rdbmsmanager.java:2406
MRM-415,org.jpox.store.rdbms.rdbmsmanager$mgmttransaction.execute(rdbmsmanager.java:2406_org.jpox.store.rdbms.rdbmsmanager.addclasses(rdbmsmanager.java:821
MRM-415,org.jpox.store.rdbms.rdbmsmanager.addclasses(rdbmsmanager.java:821_org.jpox.store.rdbms.rdbmsmanager.addclass(rdbmsmanager.java:835
MRM-415,org.jpox.store.rdbms.rdbmsmanager.addclass(rdbmsmanager.java:835_org.jpox.abstractpersistencemanager.newobjectidinstance(abstractpersistencemanager.java:2377
MRM-415,org.jpox.abstractpersistencemanager.newobjectidinstance(abstractpersistencemanager.java:2377_org.apache.maven.archiva.database.jdo.jdoaccess.getobjectbyid(jdoaccess.java:428
MRM-415,org.apache.maven.archiva.database.jdo.jdoaccess.getobjectbyid(jdoaccess.java:428_org.apache.maven.archiva.database.jdo.jdoaccess.getobjectbyid(jdoaccess.java:466
MRM-415,org.apache.maven.archiva.database.jdo.jdoaccess.getobjectbyid(jdoaccess.java:466_org.apache.maven.archiva.database.jdo.jdorepositorydao.getrepository(jdorepositorydao.java:76
MRM-415,org.apache.maven.archiva.database.jdo.jdorepositorydao.getrepository(jdorepositorydao.java:76_org.apache.maven.archiva.web.startup.configurationsynchronization.synchconfiguration(configurationsynchronization.java:94
MRM-415,org.apache.maven.archiva.web.startup.configurationsynchronization.synchconfiguration(configurationsynchronization.java:94_org.apache.maven.archiva.web.startup.configurationsynchronization.initialize(configurationsynchronization.java:147
MRM-415,org.apache.maven.archiva.web.startup.configurationsynchronization.initialize(configurationsynchronization.java:147_org.codehaus.plexus.personality.plexus.lifecycle.phase.initializephase.execute(initializephase.java:33){cod
MRM-485,unabl_creat
MRM-485,creat_snapshot
MRM-485,snapshot_repositori
MRM-485,repositori_1-
MRM-485,1-_creat
