MRM-436~0.101*probably 0.100*release 0.100*default 0.100*valid 0.100*value 0.100*expression 0.100*incorrect 0.100*cron 0.099*snapshot 0.099*repository
MRM-436~0.103*value 0.102*default 0.102*valid 0.101*expression 0.100*incorrect 0.099*repository 0.098*snapshot 0.098*cron 0.098*probably 0.098*release
MRM-436~0.105*release 0.104*cron 0.104*snapshot 0.103*probably 0.103*repository 0.099*incorrect 0.097*expression 0.096*valid 0.094*default 0.094*value
MRM-421~0.037*proxy 0.036*pattern 0.033*whitelist 0.027*default 0.026*central 0.026*download 0.025*policy 0.025*fail 0.023*clean 0.022*configuration
MRM-421~0.037*proxy 0.035*pattern 0.029*whitelist 0.026*clean 0.025*download 0.025*configuration 0.024*central 0.024*default 0.023*policy 0.023*maven
MRM-421~0.047*proxy 0.035*whitelist 0.030*pre 0.030*maven 0.029*pattern 0.026*configuration 0.026*fail 0.025*policy 0.025*clean 0.024*default
MRM-415~0.082*key 0.047*specify 0.044*long 0.041*max 0.039*length 0.032*mysql 0.032*byte 0.020*start 0.020*archiva 0.020*com.mysql.jdbc.mysqlio.checkerrorpacket(mysqlio.java:2870
MRM-415~0.057*key 0.045*length 0.035*max 0.035*long 0.031*specify 0.028*mysql 0.027*byte 0.023*bytescom.mysql.jdbc.exceptions.mysqlsyntaxerrorexception 0.022*org.jpox.store.rdbms.table.abstracttable.exists(abstracttable.java:341 0.022*com.mysql.jdbc.connection.execsql(connection.java:3170
MRM-415~0.046*key 0.037*max 0.032*length 0.031*long 0.028*specify 0.025*byte 0.024*mysql 0.024*error 0.023*com.mysql.jdbc.mysqlio.sqlquerydirect(mysqlio.java:1665 0.023*com.mysql.jdbc.connection.execsql(connection.java:3170
MRM-485~0.103*repository 0.100*create 0.091*release 0.062*stay 0.062*> 0.061*true 0.061*unable 0.060*uncheck 0.059*submit= 0.059*1-
MRM-485~0.068*repository 0.067*included3- 0.067*create 0.067*include 0.067*release 0.067*repository2- 0.067*snapshot 0.067*uncheck 0.066*submit= 0.066*edit
MRM-485~0.104*release 0.086*create 0.079*repository 0.070*snapshot 0.068*included3- 0.067*repository2- 0.062*edit 0.061*include 0.060*1- 0.060*submit=
MRM-488~0.113*browse 0.113*resolve 0.080*pom 0.080*pom.xml 0.079*property 0.079*project 0.046*mention 0.046*one).but 0.046*values.attached 0.046*use
MRM-488~0.065*resolve 0.064*browse 0.064*project 0.063*pom.xml 0.063*pom 0.062*property 0.062*page 0.062*extensively 0.062*screenshot 0.062*use
MRM-488~0.070*browse 0.070*resolve 0.067*project 0.066*property 0.064*pom.xml 0.062*pom 0.061*page 0.061*archiva 0.060*configuration 0.060*screenshot
MRM-431~0.047*repository 0.036*internal 0.032*error 0.030*xml_security 0.029*http://trn_esv1:8080 0.027*xmlsec 0.025*archiva 0.022*snapshot 0.015*central 0.014*file
MRM-431~0.072*repository 0.048*xml_security 0.042*http://trn_esv1:8080 0.040*archiva 0.037*internal 0.036*xmlsec 0.032*file 0.032*error 0.030*snapshot 0.020*central
MRM-431~0.056*repository 0.056*archiva 0.037*xmlsec 0.037*xml_security 0.036*internal 0.034*error 0.034*http://trn_esv1:8080 0.026*snapshot 0.021*file 0.018*pom:1.3.0from
MRM-402~0.237*jar 0.170*javadoc 0.092*notice 0.089*download 0.086*box 0.085*artifact 0.084*attach 0.081*describe 0.076*list
MRM-402~0.115*javadoc 0.115*jar 0.110*box 0.110*notice 0.110*artifact 0.110*describe 0.110*download 0.110*attach 0.110*list
MRM-402~0.230*jar 0.197*javadoc 0.091*list 0.086*describe 0.083*attach 0.082*artifact 0.081*box 0.077*download 0.074*notice
MRM-456~0.051*default 0.050*likely 0.048*config 0.047*complain 0.045*save 0.045*alpha-1 0.044*source 0.044*archiva.xmlthis 0.044*good 0.044*code
MRM-456~0.047*distribute 0.045*default 0.045*likely 0.045*complain 0.044*save 0.044*config 0.044*configuration 0.044*distribution 0.044*source 0.044*$
MRM-456~0.071*complain 0.070*likely 0.070*default 0.041*appserver.base}/conf 0.041*work 0.041*current 0.040*~/.m2 0.040*review 0.040*multiple 0.040*distribution
MRM-493~0.054*manage 0.048*repository 0.046*store 0.045*archiva 0.044*downloaded 0.043*default 0.043*connector 0.041*proxy 0.040*new 0.040*artifact
MRM-493~0.039*manage 0.039*repository 0.039*archiva 0.039*default 0.039*internal 0.039*downloaded 0.039*new 0.039*store 0.039*artifact 0.038*proxy
MRM-493~0.089*repository 0.068*archiva 0.065*manage 0.048*internal 0.047*artifact 0.047*new 0.047*proxy 0.047*connector 0.046*default 0.046*downloaded
MRM-452~0.096*artifact 0.092*prevent 0.092*consumer 0.092*run 0.054*repository 0.053*purge 0.053*database 0.053*delete 0.053*scan 0.053*consume
MRM-452~0.073*consumer 0.069*prevent 0.068*run 0.065*get 0.064*check 0.062*decide 0.062*index 0.062*inconsistent 0.062*time 0.061*database
MRM-452~0.070*run 0.068*prevent 0.065*time 0.065*consumer 0.065*get 0.064*artifact 0.062*decide 0.062*check 0.061*consume 0.061*inconsistent
