source_issue_id,target_issue_id,name
MRM-1960,MRM-1959,Child-Issue
MRM-1921,MRM-675,Cloners
MRM-415,MRM-227,Duplicate
MRM-493,MRM-518,Duplicate
MRM-433,MRM-481,Duplicate
MRM-419,MRM-417,Duplicate
MRM-401,MRM-376,Duplicate
MRM-464,MRM-243,Duplicate
MRM-464,MRM-769,Duplicate
MRM-1630,MRM-1008,Duplicate
MRM-1649,MRM-1563,Duplicate
MRM-1600,MRM-1568,Duplicate
MRM-1650,MRM-1587,Duplicate
MRM-395,MRM-371,Duplicate
MRM-342,MRM-306,Duplicate
MRM-382,MRM-265,Duplicate
MRM-309,MRM-153,Duplicate
MRM-368,MRM-177,Duplicate
MRM-1457,MRM-665,Duplicate
MRM-1496,MRM-979,Duplicate
MRM-1419,MRM-1097,Duplicate
MRM-1493,MRM-1282,Duplicate
MRM-1489,MRM-1427,Duplicate
MRM-1446,MRM-1345,Duplicate
MRM-1458,MRM-1071,Duplicate
MRM-1203,MRM-1202,Duplicate
MRM-1211,MRM-1116,Duplicate
MRM-1237,MRM-1168,Duplicate
MRM-1244,MRM-1114,Duplicate
MRM-1144,MRM-739,Duplicate
MRM-1184,MRM-1179,Duplicate
MRM-1114,MRM-897,Duplicate
MRM-1192,MRM-1191,Duplicate
MRM-1186,MRM-1160,Duplicate
MRM-1104,MRM-913,Duplicate
MRM-632,MRM-674,Duplicate
MRM-699,MRM-691,Duplicate
MRM-686,MRM-816,Duplicate
MRM-686,MRM-952,Duplicate
MRM-625,MRM-1309,Duplicate
MRM-681,MRM-674,Duplicate
MRM-641,MRM-734,Duplicate
MRM-629,MRM-829,Duplicate
MRM-1063,MRM-971,Duplicate
MRM-1024,MRM-1137,Duplicate
MRM-1059,MRM-1024,Duplicate
MRM-1067,MRM-830,Duplicate
MRM-1026,MRM-922,Duplicate
MRM-1048,MRM-1024,Duplicate
MRM-1035,MRM-1149,Duplicate
MRM-1051,MRM-616,Duplicate
MRM-1014,MRM-724,Duplicate
MRM-898,MRM-884,Duplicate
MRM-852,MRM-566,Duplicate
MRM-886,MRM-884,Duplicate
MRM-825,MRM-636,Duplicate
MRM-812,MRM-270,Duplicate
MRM-1879,MRM-1877,Duplicate
MRM-1858,MRM-1855,Duplicate
MRM-1844,MRM-1810,Duplicate
MRM-1849,MRM-1846,Duplicate
MRM-1853,MRM-1855,Duplicate
MRM-1837,MRM-1785,Duplicate
MRM-93,MRM-85,Duplicate
MRM-78,MRM-66,Duplicate
MRM-72,MRM-66,Duplicate
MRM-79,MRM-66,Duplicate
MRM-964,MRM-929,Duplicate
MRM-941,MRM-1219,Duplicate
MRM-984,MRM-805,Duplicate
MRM-917,MRM-639,Duplicate
MRM-928,MRM-589,Duplicate
MRM-923,MRM-880,Duplicate
MRM-953,MRM-816,Duplicate
MRM-992,MRM-747,Duplicate
MRM-599,MRM-586,Duplicate
MRM-554,MRM-440,Duplicate
MRM-578,MRM-715,Duplicate
MRM-537,MRM-37,Duplicate
MRM-289,MRM-288,Duplicate
MRM-738,MRM-674,Duplicate
MRM-743,MRM-742,Duplicate
MRM-748,MRM-585,Duplicate
MRM-723,MRM-159,Duplicate
MRM-1786,MRM-1814,Duplicate
MRM-1724,MRM-1703,Duplicate
MRM-1715,MRM-1488,Duplicate
MRM-1741,MRM-1785,Duplicate
MRM-1326,MRM-1246,Duplicate
MRM-1365,MRM-1323,Duplicate
MRM-1368,MRM-566,Duplicate
MRM-463,MRM-472,Part-of
MRM-463,MRM-473,Part-of
MRM-463,MRM-474,Part-of
MRM-463,MRM-475,Part-of
MRM-1638,MRM-1656,Part-of
MRM-1504,MRM-1505,Part-of
MRM-1504,MRM-1506,Part-of
MRM-1504,MRM-1507,Part-of
MRM-1504,MRM-1508,Part-of
MRM-1504,MRM-1509,Part-of
MRM-1504,MRM-1510,Part-of
MRM-1504,MRM-1511,Part-of
MRM-1504,MRM-1512,Part-of
MRM-1504,MRM-1513,Part-of
MRM-1504,MRM-1514,Part-of
MRM-1504,MRM-1519,Part-of
MRM-196,MRM-861,Part-of
MRM-1497,MRM-1569,Part-of
MRM-1497,MRM-1570,Part-of
MRM-1497,MRM-1571,Part-of
MRM-1497,MRM-1574,Part-of
MRM-1497,MRM-1578,Part-of
MRM-1497,MRM-1598,Part-of
MRM-1497,MRM-1576,Part-of
MRM-1497,MRM-1575,Part-of
MRM-1497,MRM-1573,Part-of
MRM-1497,MRM-1572,Part-of
MRM-1497,MRM-1577,Part-of
MRM-1497,MRM-1579,Part-of
MRM-1497,MRM-1581,Part-of
MRM-1497,MRM-1580,Part-of
MRM-1497,MRM-1615,Part-of
MRM-1497,MRM-1586,Part-of
MRM-1497,MRM-1582,Part-of
MRM-1497,MRM-1584,Part-of
MRM-1497,MRM-1585,Part-of
MRM-1497,MRM-1583,Part-of
MRM-1497,MRM-1587,Part-of
MRM-1497,MRM-1589,Part-of
MRM-1497,MRM-1614,Part-of
MRM-1497,MRM-1617,Part-of
MRM-1497,MRM-1620,Part-of
MRM-1497,MRM-1621,Part-of
MRM-1497,MRM-1631,Part-of
MRM-1497,MRM-1639,Part-of
MRM-1490,MRM-1520,Part-of
MRM-694,MRM-801,Part-of
MRM-1037,MRM-1038,Part-of
MRM-1037,MRM-1039,Part-of
MRM-1037,MRM-1040,Part-of
MRM-1037,MRM-1041,Part-of
MRM-1037,MRM-1042,Part-of
MRM-1037,MRM-1043,Part-of
MRM-1037,MRM-1044,Part-of
MRM-1037,MRM-1046,Part-of
MRM-32,MRM-33,Part-of
MRM-32,MRM-34,Part-of
MRM-32,MRM-35,Part-of
MRM-32,MRM-36,Part-of
MRM-32,MRM-47,Part-of
MRM-39,MRM-44,Part-of
MRM-39,MRM-45,Part-of
MRM-39,MRM-48,Part-of
MRM-39,MRM-52,Part-of
MRM-39,MRM-88,Part-of
MRM-37,MRM-527,Part-of
MRM-60,MRM-275,Part-of
MRM-570,MRM-571,Part-of
MRM-570,MRM-572,Part-of
MRM-505,MRM-506,Part-of
MRM-505,MRM-508,Part-of
MRM-1876,MRM-1873,Reference
MRM-1932,MRM-1954,Reference
MRM-1933,MRM-1940,Reference
MRM-1924,MRM-1861,Reference
MRM-1951,MRM-1959,Reference
MRM-1942,MRM-1936,Reference
MRM-488,MRM-615,Related
MRM-402,MRM-989,Related
MRM-408,MRM-243,Related
MRM-408,MRM-769,Related
MRM-469,MRM-514,Related
MRM-462,MRM-482,Related
MRM-462,MRM-476,Related
MRM-437,MRM-482,Related
MRM-437,MRM-477,Related
MRM-419,MRM-489,Related
MRM-418,MRM-373,Related
